Point ID,arc_length,Points_0,Points_1,Points_2,Points_Magnitude,u_0,u_1,u_2,u_Magnitude,vtkValidPointMask
296,0.837214,0.592,0.592,0,0.837214,-2.02885e-05,3.21987e-05,0,3.80576e-05,1
297,0.840043,0.594,0.594,0,0.840043,-2.01548e-05,3.22605e-05,0,3.80389e-05,1
298,0.842871,0.596,0.596,0,0.842871,-2.00043e-05,3.23298e-05,0,3.80182e-05,1
299,0.8457,0.598,0.598,0,0.8457,-1.98279e-05,3.24197e-05,0,3.80024e-05,1
300,0.848528,0.6,0.6,0,0.848528,-1.9615e-05,3.25133e-05,0,3.79719e-05,1
301,0.851357,0.602,0.602,0,0.851357,-1.94018e-05,3.26063e-05,0,3.79421e-05,1
302,0.854185,0.604,0.604,0,0.854185,-1.91773e-05,3.26997e-05,0,3.79083e-05,1
303,0.857013,0.606,0.606,0,0.857013,-1.89924e-05,3.27171e-05,0,3.78302e-05,1
304,0.859842,0.608,0.608,0,0.859842,-1.87983e-05,3.27372e-05,0,3.77505e-05,1
305,0.86267,0.61,0.61,0,0.86267,-1.85958e-05,3.28026e-05,0,3.7707e-05,1
306,0.865499,0.612,0.612,0,0.865499,-1.8374e-05,3.29719e-05,0,3.77459e-05,1
307,0.868327,0.614,0.614,0,0.868327,-1.816e-05,3.30914e-05,0,3.77469e-05,1
308,0.871156,0.616,0.616,0,0.871156,-1.79544e-05,3.3158e-05,0,3.7707e-05,1
309,0.873984,0.618,0.618,0,0.873984,-1.77632e-05,3.3087e-05,0,3.75537e-05,1
310,0.876812,0.62,0.62,0,0.876812,-1.75187e-05,3.2943e-05,0,3.73115e-05,1
311,0.879641,0.622,0.622,0,0.879641,-1.71818e-05,3.27999e-05,0,3.70277e-05,1
312,0.882469,0.624,0.624,0,0.882469,-1.68684e-05,3.25632e-05,0,3.6673e-05,1
313,0.885298,0.626,0.626,0,0.885298,-1.65551e-05,3.23266e-05,0,3.63191e-05,1
314,0.888126,0.628,0.628,0,0.888126,-1.63198e-05,3.22356e-05,0,3.61313e-05,1
315,0.890955,0.63,0.63,0,0.890955,-1.61554e-05,3.22684e-05,0,3.60867e-05,1
316,0.893783,0.632,0.632,0,0.893783,-1.5991e-05,3.23012e-05,0,3.60428e-05,1
317,0.896611,0.634,0.634,0,0.896611,-1.583e-05,3.23987e-05,0,3.60592e-05,1
318,0.89944,0.636,0.636,0,0.89944,-1.56727e-05,3.24992e-05,0,3.60809e-05,1
319,0.902268,0.638,0.638,0,0.902268,-1.55158e-05,3.25922e-05,0,3.60969e-05,1
320,0.905097,0.64,0.64,0,0.905097,-1.53503e-05,3.26446e-05,0,3.60736e-05,1
321,0.907925,0.642,0.642,0,0.907925,-1.51688e-05,3.26834e-05,0,3.60319e-05,1
322,0.910754,0.644,0.644,0,0.910754,-1.49585e-05,3.27572e-05,0,3.6011e-05,1
323,0.913582,0.646,0.646,0,0.913582,-1.47132e-05,3.27756e-05,0,3.59266e-05,1
324,0.91641,0.648,0.648,0,0.91641,-1.45097e-05,3.27718e-05,0,3.58402e-05,1
